annee,operateur_id,id_filiere,code_region,code_grand_secteur,pdl,conso,code_categorie_consommation,code_naf
2020,0,100,84,T,131,135719.2771,ENT,72.0
2020,14,100,84,T,12,77168.825,ENT,72.0
2020,58,100,84,T,9,574737.63,ENT,72.0
2020,14,200,84,T,2,5202.348,ENT,72.0
2020,85,200,84,T,36,53189.11136,ENT,72.0
2020,86,200,84,T,3,108245.0,ENT,72.0
2020,0,100,93,T,108,83694.0607,ENT,72.0
2020,58,100,93,T,3,110075.437,ENT,72.0
2020,85,200,93,T,26,43848.13135,ENT,72.0
2020,86,200,93,T,1,71865.0,ENT,72.0
2020,0,100,11,T,223,464452.1182,ENT,72.0
2020,58,100,11,T,11,190827.343,ENT,72.0
2020,85,200,11,T,53,105368.7945,ENT,72.0
2020,0,100,27,T,18,11537.38909,ENT,72.0
2020,58,100,27,T,1,63532.351,ENT,72.0
2020,85,200,27,T,3,3038.85242,ENT,72.0
2020,0,100,28,T,29,32637.21586,ENT,72.0
2020,58,100,28,T,1,18422.575,ENT,72.0
2020,85,200,28,T,5,3667.7226,ENT,72.0
2020,86,200,28,T,1,14926.0,ENT,72.0
2020,0,100,32,T,53,51278.22171,ENT,72.0
2020,58,100,32,T,3,78778.925,ENT,72.0
2020,62,100,32,T,2,409.0,ENT,72.0
2020,68,100,32,T,1,81.0,ENT,72.0
2020,85,200,32,T,9,19538.3883,ENT,72.0
2020,86,200,32,T,1,2722.0,ENT,72.0
2020,0,100,24,T,41,52742.4423,ENT,72.0
2020,69,100,24,T,3,1112.0,ENT,72.0
2020,85,200,24,T,9,15528.6287,ENT,72.0
2020,86,200,24,T,2,27251.0,ENT,72.0
2020,0,100,44,T,64,34741.87161,ENT,72.0
2020,58,100,44,T,2,9042.33,ENT,72.0
2020,72,100,44,T,17,19700.0,ENT,72.0
2020,77,100,44,T,2,767.721,ENT,72.0
2020,79,100,44,T,2,285.816,ENT,72.0
2020,79,200,44,T,1,202.178,ENT,72.0
2020,85,200,44,T,13,19240.5338,ENT,72.0
2020,101,200,44,T,4,10218.0,ENT,72.0
2020,0,100,75,T,84,108188.6098,ENT,72.0
2020,13,100,75,T,2,492.572,ENT,72.0
2020,58,100,75,T,2,79919.867,ENT,72.0
2020,71,100,75,T,6,971.0,ENT,72.0
2020,85,200,75,T,7,11516.77752,ENT,72.0
2020,87,200,75,T,11,13709.0,ENT,72.0
2020,102,200,75,T,1,30542.36021,ENT,72.0
2020,0,100,53,T,45,40156.14438,ENT,72.0
2020,85,200,53,T,10,13534.1848,ENT,72.0
2020,0,100,76,T,126,163902.3914,ENT,72.0
2020,58,100,76,T,3,14210.957,ENT,72.0
2020,103,100,76,T,4,1195.0,ENT,72.0
2020,85,200,76,T,27,46792.71845,ENT,72.0
2020,102,200,76,T,1,13776.72961,ENT,72.0
2020,0,100,52,T,58,34958.51486,ENT,72.0
2020,85,200,52,T,14,12661.15121,ENT,72.0
2020,105,100,1,T,12,2603.857,ENT,72.0
2020,105,100,2,T,2,383.869,ENT,72.0
2020,105,100,3,T,20,127234.819,ENT,72.0
2020,105,100,4,T,5,4522.205,ENT,72.0
2020,105,100,94,T,2,345.931,ENT,72.0
2020,0,100,84,T,23,1204.307968,ENT,75.0
